"REF_DATE","GEO","DGUID","Custodial and community supervision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013/2014","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","321.7","","","","1"
"2014/2015","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","441.3","","","","1"
"2015/2016","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","415.1","","","","1"
"2016/2017","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","321.3","","","","1"
"2017/2018","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","302.6","","","","1"
"2018/2019","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","296.6","","","","1"
"2019/2020","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","442.1","","","","1"
"2020/2021","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","316.5","","","","1"
"2021/2022","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","225.7","","","","1"
"2022/2023","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","208.9","","","","1"
"2023/2024","Provinces and Territories","2021A000011124","Other statuses, actual-in count","Persons","249","units","0","v21536800","1.4","120.2","","","","1"
"1978/1979","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","2983.0","","","","1"
"1979/1980","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","3017.0","","","","1"
"1980/1981","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","3413.0","","","","1"
"1981/1982","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","3730.0","","","","1"
"1982/1983","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","10455.0","","","","1"
"1983/1984","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","9645.0","","","","1"
"1984/1985","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","9555.0","","","","1"
"1985/1986","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","16822.0","","","","1"
"1986/1987","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","16637.0","","","","1"
"1987/1988","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","17208.0","","","","1"
"1988/1989","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","17774.0","","","","1"
"1989/1990","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","19929.0","","","","1"
"1990/1991","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","20351.0","","","","1"
"1991/1992","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","21326.0","","","","1"
"1992/1993","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","22418.0","","","","1"
"1993/1994","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","22331.0","","","","1"
"1994/1995","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","23702.0","","","","1"
"1995/1996","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","22999.0","","","","1"
"1996/1997","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","22104.0","","","","1"
"1997/1998","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","20686.0","","","","1"
"1998/1999","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","20155.0","","","","1"
"1999/2000","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","21805.0","","","","1"
"2000/2001","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","21457.4","","","","1"
"2001/2002","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","21569.7","","","","1"
"2002/2003","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","22039.8","","","","1"
"2003/2004","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","21675.2","","","","1"
"2004/2005","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","21901.4","","","","1"
"2005/2006","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","22517.7","","","","1"
"2006/2007","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","24105.1","","","","1"
"2007/2008","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","24740.2","","","","1"
"2008/2009","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","25348.9","","","","1"
"2009/2010","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","25710.0","","","","1"
"2010/2011","Provinces and Territories","2021A000011124","On-register count","Persons","249","units","0","v21536801","1.5","26106.0","","","","1"
